"6","148.12","1"
"516","46.27","1"
"614","674.40","1"
"616","1219.47","1"
"618","784.50","1"
"699","222.48","1"
"702","98.52","1"
"709","2.30","1"
"778","201.60","1"
"782","33.92","1"
"829","151.35","1"
"830","0.35","1"
"838","856.10","1"
"840","1122.13","1"
"841","1623.63","1"
"862","1145.65","1"
"863","624.93","1"
"865","1038.43","1"
"869","175.87","1"
"893","370.12","1"
"908","2278.93","1"
"911","917.42","1"
"916","339.07","1"
"917","5.67","1"
"969","642.40","1"
"973","43.70","1"
"988","509.07","1"
"991","1640.47","1"
"998","6.63","1"
"999","502.13","1"
"1002","1394.52","1"
"1008","473.00","1"
"1016","76.33","1"
"1019","65.08","1"
"1029","62.65","1"
"1040","0.08","1"
"1046","2305.95","1"
"1052","34.33","1"
"1064","93.93","1"
"1081","453.35","1"
"1085","82.97","1"
"1099","0.28","1"
"1102","1255.12","1"
"1119","73.25","1"
"1132","139.87","1"
"1143","21.02","1"
"1145","657.35","1"
"1151","328.58","1"
"1155","9.13","1"
"1159","30.78","1"
"1165","40.68","1"
"1173","487.40","1"
"1175","35.25","1"
"1183","1379.85","1"
"1188","48.42","1"
"1197","1758.28","1"
"1200","329.40","1"
"1201","207.78","1"
"1207","184.10","1"
"1210","4.40","1"
"1215","1545.75","1"
"1221","227.30","1"
"1235","38.73","1"
"1242","53.38","1"
"1244","26.03","1"
"1246","2003.80","1"
"1271","43.60","1"
"1283","0.33","1"
"1292","33.93","1"
"1299","55.57","1"
"1306","804.62","1"
"1308","389.10","1"
"1317","797.68","1"
"1327","160.47","1"
"1355","250.47","1"
"1362","13.52","1"
"1363","765.77","1"
"1382","17.48","1"
"1404","29.73","1"
"1419","267.13","1"
"1426","183.37","1"
"1434","1714.27","1"
"1436","0.23","1"
"1465","47.45","1"
"1468","99.57","1"
"1473","48.87","1"
"1482","354.67","1"
"1498","32.62","1"
"1500","821.40","1"
"1513","272.30","1"
"1521","776.92","1"
"1522","322.83","1"
"1537","19.95","1"
"1538","193.27","1"
"1539","0.88","1"
"1542","2007.97","1"
"1561","550.45","1"
"1563","5.27","1"
"1567","1286.92","1"
"1581","285.95","1"
"1587","93.92","1"
"1600","33.55","1"
"1605","198.90","1"
"1633","13.15","1"
"1638","706.90","1"
"1641","1.87","1"
"1651","71.73","1"
"1652","1355.32","1"
"1661","5.18","1"
"1669","311.80","1"
"1678","563.53","1"
"1693","149.95","1"
"1711","138.65","1"
"1713","86.83","1"
"1732","319.33","1"
"1742","264.88","1"
"1753","55.77","1"
"1754","516.18","1"
"1773","415.48","1"
"1778","1284.92","1"
"1780","0.65","1"
"1784","0.13","1"
"1794","303.65","1"
"1795","139.98","1"
"1801","3.00","1"
"1802","0.50","1"
"1827","1.60","1"
"1852","806.20","1"
