student_id,minutes_watched,paid_in_q2
117782,0.1,0
119972,0.08,0
120579,1.58,0
121337,5.43,0
121828,2.78,0
123015,40.75,0
123523,0.62,0
124556,9.5,0
125372,3.4,0
126135,0.05,0
126290,0.35,0
126978,41.5,0
134943,10.52,0
135752,1.25,0
135960,0.58,0
137457,0.7,0
138534,52.62,0
139015,19.5,0
140195,24.88,0
140465,0.52,0
140500,34.25,0
140676,13.75,0
143214,64.77,0
143378,4.3,0
143420,0.15,0
143488,36.92,0
143621,43.85,0
143637,108.85,0
143658,0.15,0
143721,33.4,0
143965,4.53,0
143984,2.72,0
144032,91.47,0
144074,153.5,0
144561,36.65,0
144578,32.33,0
144781,3.95,0
144925,1.58,0
144937,3.77,0
145002,0.1,0
145095,0.07,0
145161,4.92,0
145177,918.17,0
145377,2.37,0
145594,9.85,0
145658,1.13,0
145665,110.08,0
145767,84.88,0
145783,11.93,0
145920,31.68,0
145941,38.28,0
146141,95.55,0
146143,9.95,0
146158,1.33,0
146202,0.27,0
146215,10.35,0
146247,0.15,0
146289,0.1,0
146399,24.43,0
146409,1.28,0
146499,78.62,0
146656,0.17,0
146669,8.27,0
146708,0.47,0
146756,40.28,0
146814,0.4,0
146943,0.33,0
146984,2.72,0
147004,0.08,0
147088,12.98,0
147103,17.93,0
147245,0.15,0
147275,14.28,0
147429,6.05,0
147578,0.15,0
147639,55.9,0
147665,4.83,0
147693,3.87,0
147762,3.35,0
147904,4.83,0
147932,45.7,0
147941,0.23,0
147954,10.25,0
147963,0.1,0
147992,29.52,0
148006,24.83,0
148060,98.18,0
148107,36.18,0
148119,19.35,0
148133,24.62,0
148137,0.15,0
148138,2.7,0
148148,4.57,0
148149,0.17,0
148150,1.28,0
148159,0.12,0
148170,0.25,0
148171,1.38,0
148176,0.57,0
148195,1.8,0
148201,0.23,0
148203,46.13,0
148219,0.05,0
148221,0.5,0
148223,1.07,0
148225,1.23,0
148229,16.27,0
148230,0.1,0
148231,0.23,0
148239,0.4,0
148245,6.65,0
148258,0.5,0
148276,0.73,0
148277,1.43,0
148292,19.65,0
148296,0.65,0
148298,3.37,0
148307,1.97,0
148309,72.17,0
148314,0.1,0
148318,0.68,0
148319,0.13,0
148320,14.8,0
148321,34.18,0
148324,18.92,0
148334,0.57,0
148341,10.0,0
148343,0.95,0
148357,0.5,0
148363,21.35,0
148380,0.27,0
148387,0.07,0
148390,39.05,0
148406,37.95,0
148427,0.47,0
148433,1.13,0
148440,0.1,0
148442,3.37,0
148448,0.07,0
148449,0.7,0
148461,0.03,0
148469,0.83,0
148475,0.47,0
148485,1.57,0
148487,0.67,0
148496,0.35,0
148499,15.73,0
148505,2.55,0
148506,2.12,0
148507,1.68,0
148512,2.2,0
148516,86.8,0
148525,0.07,0
148532,5.1,0
148533,0.45,0
148544,56.95,0
148551,0.07,0
148556,2.73,0
148560,0.52,0
148569,12.48,0
148570,0.13,0
148586,0.5,0
148590,1.97,0
148592,2.02,0
148593,7.83,0
148602,1.58,0
148605,0.28,0
148623,65.68,0
148628,402.03,0
148641,3.22,0
148656,56.57,0
148674,6.65,0
148677,0.9,0
148682,3.37,0
148691,0.22,0
148703,46.93,0
148706,1.85,0
148719,7.68,0
148721,95.28,0
148724,34.77,0
148726,0.25,0
148728,0.43,0
148729,50.08,0
148734,2.52,0
148737,0.88,0
148750,0.28,0
148753,42.92,0
148756,105.42,0
148767,5.9,0
148790,0.4,0
148795,1.43,0
148797,1.92,0
148804,0.63,0
148818,0.07,0
148822,21.65,0
148830,0.7,0
148833,5.63,0
148845,26.12,0
148848,72.52,0
148850,0.27,0
148855,0.3,0
148871,2.17,0
148873,49.85,0
148877,0.33,0
148878,0.25,0
148881,0.98,0
148887,4.23,0
148891,24.1,0
148909,5.08,0
148915,29.08,0
148925,25.2,0
148934,33.13,0
148936,80.4,0
148949,0.53,0
148989,2.33,0
148990,14.52,0
148992,8.82,0
149014,16.62,0
149016,0.1,0
149036,0.08,0
149042,489.53,0
149043,16.93,0
149045,12.97,0
149063,2.47,0
149073,0.7,0
149079,2.7,0
149089,0.2,0
149095,46.77,0
149098,13.37,0
149099,9.5,0
149112,2.23,0
149136,0.63,0
149148,4.12,0
149167,5.92,0
149169,0.45,0
149175,0.62,0
149186,0.7,0
149187,18.13,0
149191,8.58,0
149206,19.67,0
149235,0.42,0
149266,0.65,0
149309,2.2,0
149324,0.08,0
149331,0.92,0
149332,64.12,0
149352,49.97,0
149371,93.02,0
149380,6.53,0
149391,0.13,0
149398,44.27,0
149407,0.08,0
149408,0.98,0
149415,25.77,0
149426,0.87,0
149462,48.22,0
149476,5.25,0
149489,3.22,0
149499,4.53,0
149505,2.73,0
149525,4.75,0
149541,20.53,0
149578,0.47,0
149585,0.37,0
149598,61.28,0
149602,0.17,0
149611,57.7,0
149614,0.55,0
149628,0.05,0
149637,7.65,0
149642,3.52,0
149645,18.9,0
149660,2.27,0
149661,0.08,0
149703,39.48,0
149718,0.98,0
149719,39.5,0
149736,4.57,0
149746,28.22,0
149748,2.18,0
149751,2.75,0
149782,42.25,0
149796,16.65,0
149797,0.57,0
149802,0.13,0
149827,0.55,0
149841,0.08,0
149842,7.63,0
149863,0.18,0
149888,5.78,0
149897,3.38,0
149911,85.9,0
149916,0.32,0
149917,1.4,0
149927,0.77,0
149934,0.23,0
149961,3.55,0
149963,7.73,0
149964,0.17,0
149980,0.12,0
149989,1.13,0
149993,0.78,0
150010,55.57,0
150026,1.75,0
150027,3.25,0
150047,0.63,0
150080,17.43,0
150092,0.28,0
150105,61.48,0
150106,0.05,0
150116,0.85,0
150119,3.45,0
150144,1.15,0
150156,1.07,0
150168,5.38,0
150171,0.08,0
150180,4.77,0
150200,2.3,0
150203,208.88,0
150204,0.17,0
150213,5.97,0
150227,7.97,0
150239,0.07,0
150259,5.43,0
150261,53.23,0
150279,0.18,0
150280,0.6,0
150285,21.48,0
150287,6.28,0
150291,0.13,0
150302,0.28,0
150304,18.1,0
150310,10.82,0
150317,3.87,0
150326,58.05,0
150331,0.08,0
150340,75.02,0
150361,1.1,0
150372,13.47,0
150379,60.83,0
150380,1.8,0
150394,5.43,0
150399,21.0,0
150408,26.42,0
150429,0.13,0
150433,1.22,0
150439,15.37,0
150443,1.9,0
150456,12.22,0
150458,0.35,0
150468,0.05,0
150482,11.03,0
150488,104.4,0
150502,0.35,0
150529,61.75,0
150531,0.32,0
150532,0.05,0
150534,70.47,0
150556,1.27,0
150565,0.08,0
150575,0.08,0
150576,0.1,0
150581,31.72,0
150591,0.58,0
150596,0.72,0
150607,6.35,0
150610,5.67,0
150624,0.23,0
150627,0.23,0
150646,29.18,0
150658,0.95,0
150660,0.07,0
150665,62.75,0
150671,5.53,0
150672,0.85,0
150673,23.75,0
150675,0.07,0
150701,34.17,0
150705,5.08,0
150709,0.73,0
