student_id,minutes_watched,paid_in_q2
389,0.15,0
520,91.18,0
594,3.73,0
603,8.18,0
608,387.68,0
666,335.73,0
691,499.52,0
698,35.98,0
767,0.05,0
800,482.23,0
804,514.07,0
805,48.47,0
810,190.17,0
832,358.18,0
842,289.58,0
851,375.37,0
854,6.85,0
870,510.95,0
872,6.72,0
875,401.93,0
876,2.13,0
894,0.07,0
900,283.32,0
902,34.62,0
903,141.35,0
928,99.05,0
930,159.52,0
933,717.52,0
936,379.87,0
956,1.92,0
959,12.3,0
961,326.13,0
977,0.6,0
982,38.85,0
985,57.78,0
986,0.07,0
987,149.6,0
994,280.97,0
1006,16.33,0
1010,4.93,0
1014,191.83,0
1015,1026.3,0
1018,171.12,0
1033,0.05,0
1034,107.75,0
1042,403.88,0
1045,82.25,0
1056,25.33,0
1057,1075.13,0
1066,375.32,0
1067,0.27,0
1073,5.03,0
1086,894.85,0
1091,46.45,0
1105,2.9,0
1116,0.12,0
1125,11.38,0
1127,433.43,0
1128,1002.52,0
1140,137.6,0
1158,4.58,0
1166,338.82,0
1169,49.65,0
1187,63.4,0
1190,124.13,0
1196,119.23,0
1209,6.47,0
1212,42.02,0
1214,36.08,0
1216,0.18,0
1224,19.88,0
1226,12.83,0
1238,50.8,0
1249,12.23,0
1253,0.15,0
1257,2.07,0
1259,759.92,0
1272,234.0,0
1284,586.48,0
1294,1.75,0
1313,0.55,0
1323,60.5,0
1324,90.7,0
1330,108.1,0
1331,101.38,0
1336,9.65,0
1347,29.93,0
1353,397.35,0
1357,142.83,0
1369,4.95,0
1374,219.42,0
1375,28.78,0
1388,87.18,0
1389,66.67,0
1393,0.05,0
1395,232.1,0
1424,136.8,0
1428,339.83,0
1437,366.0,0
1459,95.22,0
1461,7.8,0
1463,7.25,0
1471,0.05,0
1481,30.05,0
1501,850.03,0
1502,0.63,0
1504,1072.95,0
1531,2.7,0
1532,2.22,0
1535,831.2,0
1544,26.7,0
1550,395.48,0
1553,83.15,0
1571,77.6,0
1588,5.68,0
1595,102.67,0
1598,65.7,0
1606,5.58,0
1615,3.43,0
1644,135.07,0
1649,3.95,0
1653,247.07,0
1658,159.55,0
1667,23.18,0
1680,1.63,0
1686,0.13,0
1695,385.35,0
1701,678.78,0
1702,1.1,0
1705,606.2,0
1710,18.63,0
1733,230.23,0
1737,168.85,0
1739,109.3,0
1745,119.62,0
1759,133.38,0
1765,432.42,0
1792,89.05,0
1820,104.48,0
1825,487.42,0
1841,23.65,0
1845,9.45,0
1849,81.85,0
1862,2.7,0
1867,6.07,0
1881,130.05,0
1896,1058.63,0
1902,133.83,0
1911,109.73,0
1917,30.47,0
1932,51.77,0
1935,3.5,0
1939,423.62,0
1945,23.15,0
1947,185.17,0
1957,304.4,0
1959,259.47,0
1993,144.38,0
1994,216.18,0
2010,85.78,0
2022,115.37,0
2056,55.85,0
2058,0.42,0
2064,232.02,0
2078,10.13,0
2079,4.47,0
2092,848.05,0
2093,496.12,0
2099,250.57,0
2104,44.12,0
2106,1.98,0
2108,304.3,0
2118,554.62,0
2120,581.67,0
2149,604.18,0
2154,223.72,0
2157,4.47,0
2160,51.12,0
2162,114.65,0
2167,709.68,0
2170,3.3,0
2185,1030.28,0
2187,643.38,0
2188,868.42,0
2207,332.4,0
2229,574.57,0
2231,131.42,0
2265,90.55,0
2266,91.38,0
2267,92.4,0
2278,0.67,0
2306,20.45,0
2308,1.7,0
2312,51.25,0
2318,3.58,0
2335,36.38,0
2338,42.35,0
2339,182.27,0
2340,150.0,0
2351,18.75,0
2362,125.08,0
2364,397.43,0
2375,59.8,0
2403,2.37,0
2406,36.0,0
2410,462.68,0
2414,219.82,0
2447,574.28,0
2463,6.98,0
2501,145.05,0
2516,72.4,0
2536,905.38,0
2544,31.4,0
2550,9.62,0
2575,77.85,0
2577,3.45,0
2617,158.37,0
2621,221.12,0
2622,15.87,0
2629,217.62,0
2641,4.6,0
2642,148.72,0
2644,157.17,0
2651,57.92,0
2655,162.0,0
2657,28.17,0
2661,5.18,0
2671,10.38,0
2685,8.12,0
2688,483.8,0
2692,94.75,0
2706,918.18,0
2710,17.15,0
2738,0.28,0
2743,11.23,0
2750,14.98,0
2754,901.28,0
2761,0.3,0
2774,557.95,0
2797,39.58,0
2803,182.38,0
2805,248.62,0
2815,310.57,0
2820,0.32,0
2821,351.25,0
2826,12.22,0
2839,290.97,0
2843,19.63,0
2859,798.5,0
2863,2.58,0
2877,518.52,0
2918,601.22,0
2920,11.4,0
2922,433.32,0
2929,639.03,0
2930,265.8,0
2943,285.52,0
3011,586.38,0
3016,24.17,0
3017,166.62,0
3022,507.85,0
3030,50.2,0
3031,136.78,0
3048,20.78,0
3050,27.88,0
3074,26.42,0
3082,26.25,0
3090,41.8,0
3092,609.1,0
3099,83.88,0
3107,27.43,0
3130,0.23,0
3138,26.58,0
3147,23.58,0
3148,21.27,0
3182,0.13,0
3187,76.87,0
3199,15.88,0
3221,93.63,0
3266,5.95,0
3288,186.98,0
3297,67.98,0
3305,308.4,0
3316,0.1,0
3359,279.32,0
3367,101.93,0
3379,0.35,0
3381,54.95,0
3414,0.23,0
3426,17.5,0
3441,45.7,0
3447,10.1,0
3453,295.82,0
3466,251.7,0
3467,17.23,0
3470,20.23,0
3471,234.4,0
3473,35.8,0
3495,0.08,0
3512,383.12,0
3522,1.37,0
3550,167.32,0
3558,155.68,0
3589,0.28,0
3611,67.85,0
3626,824.05,0
3641,192.55,0
3659,5.37,0
3661,31.27,0
3663,903.43,0
3675,3.88,0
3679,19.55,0
3685,4.75,0
3687,779.38,0
3688,170.4,0
3700,131.03,0
3702,73.38,0
3704,21.83,0
3707,662.27,0
3708,1.33,0
3728,893.75,0
3758,153.97,0
3779,592.3,0
3785,362.23,0
3797,306.82,0
3814,164.12,0
3815,210.95,0
3832,258.3,0
3840,0.42,0
3850,405.58,0
3860,266.45,0
3864,469.23,0
3875,517.63,0
3878,2.03,0
3913,0.2,0
3920,0.07,0
3931,1.98,0
3934,98.72,0
3949,214.07,0
3965,9.58,0
3977,109.32,0
3980,12.15,0
3985,0.48,0
4003,0.05,0
4040,740.58,0
4062,89.43,0
4104,251.62,0
4112,52.8,0
4135,0.08,0
4143,76.6,0
4156,377.05,0
4158,19.97,0
4220,39.9,0
4230,262.8,0
4231,729.03,0
4294,51.43,0
4298,3.77,0
4311,4.58,0
4322,51.8,0
4347,34.98,0
4363,55.52,0
4377,42.03,0
4381,15.08,0
4393,117.22,0
4402,324.8,0
4413,833.65,0
4439,0.37,0
4450,0.35,0
4458,69.93,0
4515,87.05,0
4522,0.67,0
4539,0.05,0
4544,49.55,0
4551,0.13,0
4553,0.12,0
4566,4.18,0
4574,36.1,0
4582,24.75,0
4585,635.97,0
4593,2.8,0
4609,19.22,0
4613,130.83,0
4615,0.37,0
4685,372.4,0
4692,106.05,0
4706,304.38,0
4745,56.3,0
4751,0.25,0
4790,411.3,0
4793,5.13,0
4797,5.27,0
4801,360.8,0
4828,0.48,0
4837,408.75,0
4849,680.83,0
4861,5.4,0
4869,50.58,0
4907,4.62,0
4917,1.9,0
4921,275.78,0
4939,346.87,0
4946,22.57,0
4969,5.18,0
4972,48.22,0
5036,964.15,0
5058,16.95,0
5063,0.1,0
5088,0.78,0
5098,281.53,0
5136,13.9,0
5153,59.78,0
5203,227.05,0
5221,23.72,0
5223,585.87,0
5227,0.33,0
5262,426.52,0
5274,22.08,0
5279,139.42,0
5299,265.1,0
5309,710.53,0
5336,589.03,0
5358,14.98,0
5373,244.58,0
5380,0.87,0
5382,569.27,0
5392,12.32,0
5424,14.4,0
5434,461.15,0
5502,244.83,0
5511,0.07,0
5543,975.42,0
5567,762.35,0
5574,9.08,0
5577,252.53,0
5578,16.02,0
5591,6.35,0
5598,28.13,0
5601,245.8,0
5632,112.48,0
5663,27.6,0
5671,29.2,0
5676,6.62,0
5683,26.87,0
5686,136.97,0
5687,48.3,0
5704,0.65,0
5707,117.47,0
5716,4.53,0
5734,315.63,0
5750,0.38,0
5782,297.85,0
5791,0.42,0
5939,17.73,0
5971,53.93,0
5974,1017.97,0
5996,61.93,0
6012,6.45,0
6027,24.15,0
6030,385.35,0
6034,0.08,0
6110,578.72,0
6129,194.1,0
6174,5.67,0
6239,48.48,0
6253,283.95,0
6312,489.53,0
6331,55.35,0
6367,157.07,0
6394,332.57,0
6409,169.73,0
6418,42.45,0
6421,660.63,0
6464,203.88,0
6542,128.68,0
6569,4.35,0
6580,26.72,0
6599,33.67,0
6643,541.98,0
6659,189.13,0
6665,24.35,0
6667,11.43,0
6681,8.45,0
6685,523.63,0
6741,32.97,0
6743,23.97,0
6757,71.0,0
6791,261.13,0
6801,22.25,0
6817,13.5,0
6824,307.5,0
6836,33.53,0
6864,6.02,0
6867,9.08,0
6888,58.65,0
6939,0.43,0
6944,15.43,0
6958,384.82,0
6982,55.45,0
6997,164.48,0
7015,0.17,0
7021,31.6,0
7034,467.03,0
7094,1.3,0
7096,133.17,0
7115,17.33,0
7122,126.5,0
7127,231.3,0
7128,592.88,0
7129,8.62,0
7133,483.7,0
7155,147.48,0
7169,32.1,0
7212,25.83,0
7231,570.33,0
7242,106.23,0
7245,231.6,0
7250,90.32,0
7254,363.28,0
7282,98.9,0
7310,32.13,0
7334,153.0,0
7343,985.05,0
7355,0.37,0
7365,648.78,0
7373,17.98,0
7386,70.03,0
7404,14.57,0
7406,7.55,0
7482,110.27,0
7483,1.85,0
7487,681.27,0
7503,44.88,0
7561,890.02,0
7583,712.57,0
7631,22.93,0
7645,288.75,0
7676,0.05,0
7726,73.7,0
7735,0.1,0
7819,5.98,0
7863,2.32,0
7889,1.15,0
7908,701.17,0
7962,32.77,0
7987,3.35,0
8053,34.4,0
8183,40.32,0
8380,667.08,0
8437,774.47,0
8444,7.43,0
8519,27.17,0
8555,94.05,0
8567,3.73,0
8591,148.6,0
8686,0.22,0
8716,5.08,0
8758,454.72,0
8773,22.3,0
8797,33.98,0
8798,10.07,0
8825,0.22,0
8835,414.92,0
8868,669.3,0
8873,11.37,0
8912,291.22,0
8924,569.08,0
8937,42.82,0
8952,26.35,0
8964,20.7,0
9000,350.48,0
9021,159.27,0
9027,187.1,0
9031,1.55,0
9101,1.02,0
9114,145.4,0
9252,0.73,0
9260,2.08,0
9303,6.3,0
9334,68.37,0
9336,5.47,0
9387,13.43,0
9465,511.0,0
9521,0.07,0
9544,0.4,0
9560,103.72,0
9571,325.1,0
